Membership No  Date Joined  Active  
    54561      2018-10-4    yes   
    33866      2017-11-21   no    
    31471      2020-8-8     no    
    56419      2017-2-23    yes   
    43877      2020-12-20   no    
    19511      2020-4-9     yes   
    61241      2020-8-15    no    
    80949      2019-8-22    no    
    94076      2020-6-17    yes   
    87594      2019-5-6     no    
    41630      2018-4-19    yes   
    71927      2019-11-9    yes   
    91515      2015-10-2    no    
    80615      2015-3-10    no    
    69430      2015-3-9     no    
    53767      2020-6-1     yes   
    11448      2016-2-17    no    
    74667      2017-7-23    no    
    13473      2018-9-6     yes   
    75784      2019-6-23    yes   
